SSerial,Rsex,Rage,MeatEnv,MeatHlth,MeatWelf,livcost1,Country,MeatHab,REconAct,REarnD
350024.0,2,46.0,2,4,4,5,1,1,0,0
351963.0,1,43.0,2,2,2,5,1,1,1,10
352047.0,2,24.0,3,2,4,4,1,1,1,6
351387.0,2,66.0,4,4,4,4,1,1,0,0
351172.0,1,47.0,1,2,2,5,1,1,1,4
350745.0,1,67.0,3,3,3,4,1,1,1,10
350499.0,1,48.0,2,2,2,4,1,1,1,8
351568.0,1,47.0,2,2,2,5,1,1,0,0
351400.0,2,28.0,4,2,5,5,1,0,0,0
351709.0,1,61.0,1,1,1,5,1,1,1,3
351977.0,2,84.0,2,4,4,3,1,1,0,0
352735.0,2,70.0,2,2,3,5,1,1,0,0
352474.0,1,65.0,3,2,3,5,1,1,0,0
350785.0,1,20.0,3,3,4,5,1,1,1,1
351121.0,2,70.0,2,2,4,5,1,1,0,0
352490.0,1,38.0,3,4,4,5,1,1,1,9
351296.0,1,35.0,2,4,4,4,1,1,0,0
352525.0,2,60.0,2,2,2,3,1,1,1,2
352338.0,2,67.0,5,5,5,1,1,1,0,0
350597.0,2,36.0,3,4,4,5,1,0,1,6
352551.0,1,37.0,2,2,3,3,1,1,1,9
352127.0,2,69.0,3,3,3,4,1,1,0,0
350976.0,2,60.0,3,3,3,5,1,1,0,0
351399.0,1,73.0,2,2,2,5,1,1,0,0
350796.0,2,72.0,2,4,2,5,1,1,0,0
352620.0,2,75.0,3,2,3,5,1,1,0,0
352315.0,1,31.0,2,2,2,4,1,1,1,10
352038.0,2,32.0,5,5,5,3,1,0,1,2
352633.0,1,54.0,5,5,5,4,1,1,1,10
352738.0,1,35.0,2,2,3,5,1,1,1,8
350269.0,1,52.0,4,4,3,3,1,1,1,10
350778.0,1,18.0,3,1,4,4,1,1,0,0
350034.0,2,30.0,4,3,4,4,1,1,1,5
352092.0,2,31.0,3,2,3,5,1,1,1,4
351430.0,1,36.0,5,4,3,5,1,1,1,8
350840.0,2,76.0,3,3,2,4,1,1,0,0
352512.0,2,27.0,3,2,2,5,1,1,1,5
352531.0,2,18.0,3,4,4,4,1,1,0,0
351735.0,2,39.0,3,4,4,5,1,1,1,3
351531.0,2,48.0,2,2,2,4,1,1,0,0
350463.0,1,55.0,2,4,0,4,1,1,1,9
